embedding,probe,score,conformal,alpha,eval,n_cal,n_eval,marginal_cov,tb_cov,nontb_cov,mean_size,singleton,empty,disparity,marg_lo95,marg_hi95,tb_lo95,tb_hi95
biomedclip,mlp,raw,Mondrian,0.05,tbx11k_test,1260,5879,0.9495,0.9123,0.9534,1.5797,0.4203,0.0,0.041,0.9365,0.9611,0.8891,0.975
biomedclip,mlp,raw,Mondrian,0.05,pakistan_ext,1260,3008,0.9904,0.9904,0.9903,1.4019,0.5981,0.0,0.0001,,,,
biomedclip,mlp,raw,APS,0.1,tbx11k_test,1260,5879,0.8983,1.0,0.8876,1.8529,0.1471,0.0,0.1124,0.8845,0.9117,0.9982,1.0
biomedclip,mlp,raw,APS,0.1,pakistan_ext,1260,3008,0.9711,1.0,0.8307,1.2606,0.7394,0.0,0.1693,,,,
biomedclip,mlp,raw,Mondrian,0.1,tbx11k_test,1260,5879,0.8976,0.8873,0.8987,1.4281,0.5719,0.0,0.0114,0.8825,0.9126,0.8301,0.9088
biomedclip,mlp,raw,Mondrian,0.1,pakistan_ext,1260,3008,0.9648,0.984,0.8716,1.2467,0.7533,0.0,0.1124,,,,
biomedclip,mlp,raw,APS,0.2,tbx11k_test,1260,5879,0.8117,0.9803,0.794,1.6455,0.3545,0.0,0.1863,0.7833,0.8294,0.9642,0.9839
biomedclip,mlp,raw,APS,0.2,pakistan_ext,1260,3008,0.9156,0.9968,0.5214,1.1343,0.8657,0.0,0.4754,,,,
biomedclip,mlp,raw,Mondrian,0.2,tbx11k_test,1260,5879,0.8097,0.805,0.8102,1.1977,0.8023,0.0,0.0051,0.7874,0.8275,0.6941,0.8658
biomedclip,mlp,raw,Mondrian,0.2,pakistan_ext,1260,3008,0.9016,0.9727,0.5564,1.0904,0.9096,0.0,0.4163,,,,
biomedclip,mlp,isotonic,APS,0.05,tbx11k_test,1260,5879,0.966,0.6547,0.9987,1.2767,0.7233,0.0,0.3439,0.9389,0.966,0.3703,0.6547
biomedclip,mlp,isotonic,APS,0.05,pakistan_ext,1260,3008,0.9545,0.9451,1.0,1.74,0.26,0.0,0.0549,,,,
biomedclip,mlp,isotonic,Mondrian,0.05,tbx11k_test,1260,5879,0.9713,0.9213,0.9765,1.6351,0.3649,0.0,0.0552,0.9682,0.9779,0.8891,0.9911
biomedclip,mlp,isotonic,Mondrian,0.05,pakistan_ext,1260,3008,0.993,0.9916,1.0,1.5143,0.4857,0.0,0.0084,,,,
biomedclip,mlp,isotonic,APS,0.1,tbx11k_test,1260,5879,0.9012,0.0107,0.9947,0.9934,0.9934,0.0066,0.984,0.8845,0.9367,0.0089,0.347
biomedclip,mlp,isotonic,APS,0.1,pakistan_ext,1260,3008,0.3148,0.1736,1.0,0.8853,0.8853,0.1147,0.8264,,,,
biomedclip,mlp,isotonic,Mondrian,0.1,tbx11k_test,1260,5879,0.9019,0.8891,0.9032,1.4428,0.5572,0.0,0.0141,0.9013,0.9679,0.8837,0.9213
biomedclip,mlp,isotonic,Mondrian,0.1,pakistan_ext,1260,3008,0.9674,0.9844,0.8852,1.2586,0.7414,0.0,0.0991,,,,
biomedclip,mlp,isotonic,APS,0.2,tbx11k_test,1260,5879,0.818,0.0072,0.9032,0.8791,0.8791,0.1209,0.896,0.818,0.8182,0.0072,0.0072
biomedclip,mlp,isotonic,APS,0.2,pakistan_ext,1260,3008,0.2882,0.1652,0.8852,0.4305,0.4305,0.5695,0.72,,,,
biomedclip,mlp,isotonic,Mondrian,0.2,tbx11k_test,1260,5879,0.8961,0.8283,0.9032,1.3436,0.6564,0.0,0.0749,0.8859,0.9013,0.7209,0.8837
