threshold,cal_sens,cal_spec,test_sens,test_spec
0.2726,0.6142,1.0,0.6243,0.9598
0.2731,0.6142,1.0,0.6243,0.9598
0.2736,0.6142,1.0,0.6243,0.9598
0.2741,0.6142,1.0,0.6243,0.9598
0.2746,0.6142,1.0,0.6243,0.9598
0.2751,0.6142,1.0,0.6243,0.9598
0.2756,0.6142,1.0,0.6243,0.9598
0.2761,0.6142,1.0,0.6243,0.9598
0.2766,0.6142,1.0,0.6243,0.9598
0.2771,0.6142,1.0,0.6243,0.9598
0.2776,0.6142,1.0,0.6243,0.9598
0.2781,0.6142,1.0,0.6243,0.9598
0.2786,0.6142,1.0,0.6243,0.9598
0.2791,0.6142,1.0,0.6243,0.9598
0.2796,0.6142,1.0,0.6243,0.9598
0.2801,0.6142,1.0,0.6243,0.9598
0.2806,0.6142,1.0,0.6243,0.9598
0.2811,0.6142,1.0,0.6243,0.9598
0.2816,0.6142,1.0,0.6243,0.9598
0.2821,0.6142,1.0,0.6243,0.9598
0.2826,0.6142,1.0,0.6243,0.9598
0.2831,0.6142,1.0,0.6243,0.9598
0.2836,0.6142,1.0,0.6243,0.9598
0.2841,0.6142,1.0,0.6243,0.9598
0.2846,0.6142,1.0,0.6243,0.9598
0.2851,0.6142,1.0,0.6243,0.9598
0.2856,0.6142,1.0,0.6243,0.9598
0.2861,0.6142,1.0,0.6243,0.9598
0.2866,0.6142,1.0,0.6243,0.9598
0.2871,0.6142,1.0,0.6243,0.9598
0.2876,0.6142,1.0,0.6243,0.9598
0.2881,0.6142,1.0,0.6243,0.9598
0.2886,0.6142,1.0,0.6243,0.9598
0.2891,0.6142,1.0,0.6243,0.9598
0.2896,0.6142,1.0,0.6243,0.9598
0.2901,0.6142,1.0,0.6243,0.9598
0.2906,0.6142,1.0,0.6243,0.9598
0.2911,0.6142,1.0,0.6243,0.9598
0.2916,0.6142,1.0,0.6243,0.9598
0.2921,0.6142,1.0,0.6243,0.9598
0.2926,0.6142,1.0,0.6243,0.9598
0.2931,0.6142,1.0,0.6243,0.9598
0.2936,0.6142,1.0,0.6243,0.9598
0.2941,0.6142,1.0,0.6243,0.9598
0.2946,0.6142,1.0,0.6243,0.9598
