embedding,fpr,tpr
rad_dino,0.090414,0.77102
rad_dino,0.093233,0.77102
rad_dino,0.093233,0.772809
rad_dino,0.093421,0.772809
rad_dino,0.093421,0.774597
rad_dino,0.099812,0.774597
rad_dino,0.099812,0.776386
rad_dino,0.100376,0.776386
rad_dino,0.100376,0.778175
rad_dino,0.100752,0.778175
rad_dino,0.100752,0.779964
rad_dino,0.101504,0.779964
rad_dino,0.101504,0.781753
rad_dino,0.103008,0.781753
rad_dino,0.103383,0.781753
rad_dino,0.104323,0.781753
rad_dino,0.104699,0.781753
rad_dino,0.107707,0.781753
rad_dino,0.107707,0.783542
rad_dino,0.108459,0.783542
rad_dino,0.108459,0.785331
rad_dino,0.11015,0.785331
rad_dino,0.110526,0.785331
rad_dino,0.111842,0.785331
rad_dino,0.111842,0.78712
rad_dino,0.113158,0.78712
rad_dino,0.113534,0.78712
rad_dino,0.114474,0.78712
rad_dino,0.114474,0.788909
rad_dino,0.11485,0.788909
rad_dino,0.115226,0.788909
rad_dino,0.115414,0.788909
rad_dino,0.115789,0.788909
rad_dino,0.115977,0.788909
rad_dino,0.115977,0.790698
rad_dino,0.117293,0.790698
rad_dino,0.117293,0.792487
rad_dino,0.117857,0.792487
rad_dino,0.118233,0.792487
rad_dino,0.118421,0.792487
rad_dino,0.118421,0.794275
rad_dino,0.118609,0.794275
rad_dino,0.118609,0.796064
rad_dino,0.119925,0.796064
rad_dino,0.119925,0.797853
rad_dino,0.120865,0.797853
rad_dino,0.120865,0.799642
rad_dino,0.123684,0.799642
rad_dino,0.123684,0.801431
rad_dino,0.126128,0.801431
rad_dino,0.126128,0.80322
rad_dino,0.126316,0.80322
rad_dino,0.126316,0.805009
rad_dino,0.132519,0.805009
rad_dino,0.132519,0.806798
rad_dino,0.133271,0.806798
rad_dino,0.133271,0.808587
rad_dino,0.133835,0.808587
rad_dino,0.133835,0.810376
rad_dino,0.134586,0.810376
rad_dino,0.134586,0.812165
rad_dino,0.138158,0.812165
rad_dino,0.138158,0.813953
rad_dino,0.138346,0.813953
rad_dino,0.138722,0.813953
rad_dino,0.139286,0.813953
rad_dino,0.139286,0.815742
rad_dino,0.140977,0.815742
rad_dino,0.140977,0.81932
rad_dino,0.142669,0.81932
rad_dino,0.142669,0.821109
rad_dino,0.143609,0.821109
rad_dino,0.143609,0.822898
rad_dino,0.144737,0.822898
rad_dino,0.144737,0.824687
rad_dino,0.145489,0.824687
rad_dino,0.145489,0.828265
rad_dino,0.149248,0.828265
rad_dino,0.149248,0.830054
rad_dino,0.149812,0.830054
rad_dino,0.149812,0.831843
rad_dino,0.150376,0.831843
rad_dino,0.150376,0.833631
rad_dino,0.153759,0.833631
rad_dino,0.153759,0.83542
rad_dino,0.16109,0.83542
rad_dino,0.161466,0.83542
rad_dino,0.162782,0.83542
rad_dino,0.163158,0.83542
rad_dino,0.163346,0.83542
rad_dino,0.163346,0.837209
rad_dino,0.165602,0.837209
rad_dino,0.165602,0.838998
rad_dino,0.169549,0.838998
rad_dino,0.169549,0.840787
rad_dino,0.170677,0.840787
rad_dino,0.170677,0.842576
rad_dino,0.177256,0.842576
rad_dino,0.177256,0.844365
rad_dino,0.177632,0.844365
rad_dino,0.177632,0.846154
rad_dino,0.178008,0.846154
rad_dino,0.178008,0.847943
rad_dino,0.179135,0.847943
rad_dino,0.179135,0.849732
rad_dino,0.179511,0.849732
rad_dino,0.179511,0.851521
rad_dino,0.181015,0.851521
rad_dino,0.181015,0.853309
rad_dino,0.183459,0.853309
rad_dino,0.183459,0.855098
rad_dino,0.185714,0.855098
rad_dino,0.185714,0.856887
rad_dino,0.18797,0.856887
rad_dino,0.18797,0.858676
rad_dino,0.188158,0.858676
rad_dino,0.188158,0.860465
rad_dino,0.18891,0.860465
rad_dino,0.18891,0.862254
rad_dino,0.191541,0.862254
rad_dino,0.191917,0.862254
rad_dino,0.194925,0.862254
rad_dino,0.194925,0.864043
rad_dino,0.195865,0.864043
rad_dino,0.195865,0.865832
rad_dino,0.200188,0.865832
rad_dino,0.200188,0.867621
rad_dino,0.201316,0.867621
rad_dino,0.201316,0.86941
rad_dino,0.201504,0.86941
rad_dino,0.201504,0.871199
rad_dino,0.202632,0.871199
rad_dino,0.203008,0.871199
rad_dino,0.204135,0.871199
rad_dino,0.204135,0.872987
rad_dino,0.208271,0.872987
rad_dino,0.208271,0.874776
rad_dino,0.210338,0.874776
rad_dino,0.210338,0.876565
rad_dino,0.222932,0.876565
rad_dino,0.222932,0.878354
rad_dino,0.225188,0.878354
rad_dino,0.225564,0.878354
rad_dino,0.229511,0.878354
rad_dino,0.229511,0.881932
rad_dino,0.231955,0.881932
rad_dino,0.231955,0.883721
rad_dino,0.232143,0.883721
rad_dino,0.232143,0.88551
rad_dino,0.232519,0.88551
rad_dino,0.232519,0.887299
rad_dino,0.232895,0.887299
rad_dino,0.233835,0.887299
rad_dino,0.233835,0.889088
rad_dino,0.23703,0.889088
rad_dino,0.237406,0.889088
rad_dino,0.240602,0.889088
rad_dino,0.240602,0.890877
rad_dino,0.241353,0.890877
rad_dino,0.241353,0.892665
rad_dino,0.246805,0.892665
rad_dino,0.246805,0.894454
rad_dino,0.247368,0.894454
rad_dino,0.247744,0.894454
rad_dino,0.247932,0.894454
rad_dino,0.248308,0.894454
rad_dino,0.254323,0.894454
rad_dino,0.254699,0.894454
rad_dino,0.268045,0.894454
rad_dino,0.268045,0.896243
rad_dino,0.268797,0.896243
rad_dino,0.268797,0.898032
rad_dino,0.270301,0.898032
rad_dino,0.270677,0.898032
rad_dino,0.270865,0.898032
rad_dino,0.271241,0.898032
rad_dino,0.271617,0.898032
rad_dino,0.271617,0.899821
rad_dino,0.275,0.899821
rad_dino,0.275376,0.899821
rad_dino,0.279135,0.899821
rad_dino,0.279135,0.90161
rad_dino,0.284962,0.90161
rad_dino,0.284962,0.903399
rad_dino,0.285902,0.903399
rad_dino,0.285902,0.905188
rad_dino,0.289286,0.905188
rad_dino,0.289286,0.906977
rad_dino,0.293609,0.906977
rad_dino,0.293609,0.908766
rad_dino,0.296805,0.908766
rad_dino,0.296805,0.910555
rad_dino,0.299436,0.910555
rad_dino,0.299812,0.910555
rad_dino,0.306203,0.910555
