embedding,recall,precision
biomedclip,0.998211,0.09728
biomedclip,0.996422,0.097293
biomedclip,0.996422,0.09748
biomedclip,0.994633,0.097493
biomedclip,0.994633,0.097681
biomedclip,0.994633,0.09787
biomedclip,0.994633,0.09806
biomedclip,0.994633,0.098251
biomedclip,0.994633,0.098442
biomedclip,0.994633,0.098634
biomedclip,0.994633,0.098827
biomedclip,0.994633,0.09902
biomedclip,0.992844,0.099036
biomedclip,0.992844,0.099231
biomedclip,0.992844,0.099427
biomedclip,0.991055,0.099444
biomedclip,0.991055,0.09964
biomedclip,0.991055,0.099838
biomedclip,0.987478,0.099675
biomedclip,0.987478,0.099873
biomedclip,0.987478,0.100073
biomedclip,0.987478,0.100272
biomedclip,0.987478,0.100473
biomedclip,0.987478,0.100675
biomedclip,0.987478,0.100877
biomedclip,0.987478,0.10108
biomedclip,0.987478,0.101284
biomedclip,0.987478,0.101489
biomedclip,0.987478,0.101695
biomedclip,0.987478,0.101901
biomedclip,0.987478,0.102109
biomedclip,0.987478,0.102317
biomedclip,0.987478,0.102526
biomedclip,0.987478,0.102736
biomedclip,0.985689,0.10276
biomedclip,0.985689,0.102971
biomedclip,0.985689,0.103184
biomedclip,0.9839,0.103209
biomedclip,0.982111,0.103234
biomedclip,0.982111,0.103448
biomedclip,0.982111,0.103663
biomedclip,0.982111,0.103879
biomedclip,0.978533,0.103716
biomedclip,0.978533,0.103933
biomedclip,0.978533,0.104151
biomedclip,0.976744,0.104179
biomedclip,0.976744,0.104398
biomedclip,0.976744,0.104618
biomedclip,0.976744,0.104859
biomedclip,0.976744,0.105081
biomedclip,0.976744,0.105304
biomedclip,0.976744,0.105528
biomedclip,0.974955,0.105559
biomedclip,0.974955,0.105784
biomedclip,0.974955,0.106031
biomedclip,0.974955,0.106259
biomedclip,0.974955,0.106487
biomedclip,0.973166,0.10652
biomedclip,0.973166,0.10675
biomedclip,0.973166,0.106981
biomedclip,0.973166,0.107213
biomedclip,0.973166,0.107446
biomedclip,0.973166,0.10768
biomedclip,0.971377,0.107717
biomedclip,0.969589,0.107753
biomedclip,0.969589,0.10799
biomedclip,0.9678,0.108027
biomedclip,0.9678,0.108265
biomedclip,0.9678,0.108504
biomedclip,0.9678,0.108744
biomedclip,0.9678,0.108985
biomedclip,0.9678,0.109227
biomedclip,0.9678,0.10947
biomedclip,0.966011,0.109511
biomedclip,0.966011,0.109756
biomedclip,0.964222,0.109798
biomedclip,0.964222,0.110045
biomedclip,0.964222,0.110293
biomedclip,0.964222,0.110541
biomedclip,0.964222,0.110791
biomedclip,0.964222,0.111042
biomedclip,0.964222,0.111295
biomedclip,0.964222,0.111548
biomedclip,0.962433,0.111595
biomedclip,0.962433,0.11185
biomedclip,0.962433,0.112107
biomedclip,0.962433,0.112364
biomedclip,0.960644,0.112414
biomedclip,0.960644,0.112673
biomedclip,0.960644,0.112934
biomedclip,0.960644,0.113219
biomedclip,0.958855,0.113271
biomedclip,0.958855,0.113535
biomedclip,0.958855,0.113825
biomedclip,0.958855,0.114091
biomedclip,0.958855,0.114359
biomedclip,0.958855,0.114628
biomedclip,0.958855,0.114898
biomedclip,0.957066,0.114955
biomedclip,0.957066,0.115227
biomedclip,0.957066,0.115501
biomedclip,0.957066,0.115776
biomedclip,0.957066,0.116052
biomedclip,0.957066,0.11633
biomedclip,0.957066,0.116609
biomedclip,0.957066,0.116889
biomedclip,0.957066,0.11717
biomedclip,0.957066,0.117453
biomedclip,0.957066,0.117738
biomedclip,0.957066,0.118023
biomedclip,0.957066,0.11831
biomedclip,0.957066,0.118599
biomedclip,0.955277,0.118667
biomedclip,0.955277,0.118957
biomedclip,0.955277,0.11925
biomedclip,0.955277,0.119543
biomedclip,0.953488,0.119614
biomedclip,0.949911,0.11946
biomedclip,0.949911,0.119756
biomedclip,0.949911,0.120054
biomedclip,0.948122,0.120127
biomedclip,0.948122,0.120427
biomedclip,0.946333,0.120501
biomedclip,0.946333,0.120804
biomedclip,0.946333,0.121108
biomedclip,0.946333,0.121414
biomedclip,0.946333,0.121721
biomedclip,0.944544,0.121799
biomedclip,0.944544,0.122109
biomedclip,0.944544,0.122421
biomedclip,0.940966,0.122269
biomedclip,0.939177,0.122349
biomedclip,0.939177,0.122664
biomedclip,0.939177,0.12298
biomedclip,0.939177,0.123297
biomedclip,0.939177,0.123617
biomedclip,0.939177,0.123938
biomedclip,0.939177,0.12426
biomedclip,0.939177,0.124585
biomedclip,0.939177,0.124911
biomedclip,0.939177,0.125239
biomedclip,0.939177,0.125628
biomedclip,0.939177,0.12596
biomedclip,0.939177,0.126293
biomedclip,0.939177,0.126628
biomedclip,0.939177,0.126996
biomedclip,0.935599,0.126849
biomedclip,0.935599,0.127189
biomedclip,0.935599,0.12753
biomedclip,0.935599,0.127873
biomedclip,0.93381,0.127973
biomedclip,0.93381,0.12835
biomedclip,0.93381,0.128698
biomedclip,0.93381,0.129048
biomedclip,0.93381,0.1294
biomedclip,0.93381,0.129754
biomedclip,0.932021,0.12986
biomedclip,0.932021,0.130217
biomedclip,0.930233,0.130326
biomedclip,0.928444,0.130468
biomedclip,0.928444,0.130829
biomedclip,0.926655,0.13094
biomedclip,0.926655,0.131305
biomedclip,0.926655,0.131673
